date,y1
2007-01-07,437.58
2007-01-08,97.9
2007-01-09,727.53
2007-01-10,942.21
2007-01-11,311.7
2007-01-12,818.57
2007-01-13,542.25
2007-01-14,398.59
2007-01-15,244.8
2007-01-16,739.0
2007-01-17,349.66
2007-01-18,318.9
2007-01-19,967.91
2007-01-20,913.42
2007-01-21,425.12
2007-01-22,870.44
2007-01-23,601.99
2007-01-24,321.73
2007-01-25,362.76
2007-01-26,726.7
2007-01-27,996.68
2007-01-28,226.44
2007-01-29,752.58
2007-01-30,667.51
2007-01-31,511.83
2007-02-01,672.17
2007-02-02,152.09
2007-02-03,122.66
2007-02-04,700.86
2007-02-05,527.4
2007-02-06,807.16
2007-02-07,932.31
2007-02-08,1167.29
2007-02-09,705.77
2007-02-10,359.81
2007-02-11,1514.58
2007-02-12,806.47
2007-02-13,226.44
2007-02-14,
2007-02-15,
2007-02-16,367.96
2007-02-17,275.2
2007-02-18,188.7
2007-02-19,
2007-02-20,
2007-02-21,
2007-02-22,318.64
2007-02-23,
2007-02-24,188.7
2007-02-25,437.03
2007-02-26,114.16
2007-02-27,465.96
2007-02-28,866.88
2007-03-01,790.76
2007-03-02,334.9
2007-03-03,275.89
2007-03-04,116.99
2007-03-05,
2007-03-06,1286.16
2007-03-07,420.8
2007-03-08,163.07
2007-03-09,1449.32
2007-03-10,1210.56
2007-03-11,1071.08
2007-03-12,
2007-03-13,683.9
2007-03-14,1259.99
2007-03-15,1210.32
2007-03-16,1302.91
2007-03-17,813.0
2007-03-18,860.23
2007-03-19,948.4
2007-03-20,1114.3
2007-03-21,353.25
2007-03-22,813.24
2007-03-23,
2007-03-24,660.3
2007-03-25,1058.17
2007-03-26,606.87
2007-03-27,953.76
2007-03-28,948.31
2007-03-29,805.5
2007-03-30,1058.08
2007-03-31,809.61
2007-04-01,607.88
2007-04-02,938.93
2007-04-03,358.1
2007-04-04,1118.5
2007-04-05,886.73
2007-04-06,956.35
2007-04-07,1035.13
2007-04-08,1078.42
2007-04-09,452.88
2007-04-10,1187.83
2007-04-11,618.96
2007-04-12,325.36
2007-04-13,
2007-04-14,
